,category,message
5814,Sex Offences,Another mouth
5815,Sex Offences,Another minors
5816,Sex Offences,Another pedophile
5817,Sex Offences,Another molested
5818,Sex Offences,Another penetrated
5819,Sex Offences,Another whip
5820,Sex Offences,Another dominate
5821,Sex Offences,Another anal
5822,Sex Offences,Another bleed from sex
5823,Sex Offences,Another used her
5824,Sex Offences,Another ass
5825,Sex Offences,Another molested
5826,Sex Offences,Another molesting
5827,Sex Offences,Another harrass
5828,Sex Offences,Another harrassing
5829,Sex Offences,Another stalking
5830,Sex Offences,Another creepy man
5831,Sex Offences,Another stalk
5832,Sex Offences,Another staring
5833,Sex Offences,Another sexual
5834,Sex Offences,Another make out
5835,Sex Offences,Another slipped something in drink
5836,Sex Offences,Another sexual abuse
5837,Sex Offences,Another human trafficking
5838,Sex Offences,Another brothel
5839,Sex Offences,Another pimp
5840,Sex Offences,Another prostitute
5841,Sex Offences,Another prostitution
5842,Traffic Violation,He car is swerving erratically
5843,Traffic Violation,He car moving weird
5844,Traffic Violation,He driving drunk
5845,Traffic Violation,He ran a red light
5846,Traffic Violation,He has a suspended license
5847,Traffic Violation,He cannot drive
5848,Traffic Violation,He hit and run
5849,Traffic Violation,He had an accident
5850,Traffic Violation,He crashed into someone
5851,Traffic Violation,He broke their car
5852,Traffic Violation,He ran a stop sign
5853,Traffic Violation,He hit someone with their car
5854,Traffic Violation,He is driving while high
5855,Traffic Violation,He is speeding
5856,Traffic Violation,He is too fast
5857,Traffic Violation,He driving like a maniac
5858,Traffic Violation,He reckless driving
5859,Traffic Violation,He dangerous driving
5860,Traffic Violation,He license
5861,Traffic Violation,He driver
5862,Traffic Violation,He passenger
5863,Traffic Violation,He pedestrian
5864,Traffic Violation,He hit someone
5865,Traffic Violation,He police car
5866,Traffic Violation,He tailgate
5867,Traffic Violation,He roadrage
5868,Traffic Violation,He demerit points
5869,Traffic Violation,He red light
5870,Traffic Violation,He speeding camera
5871,Traffic Violation,He red light camera
5872,Traffic Violation,She car is swerving erratically
5873,Traffic Violation,She car moving weird
5874,Traffic Violation,She driving drunk
5875,Traffic Violation,She ran a red light
5876,Traffic Violation,She has a suspended license
5877,Traffic Violation,She cannot drive
5878,Traffic Violation,She hit and run
5879,Traffic Violation,She had an accident
5880,Traffic Violation,She crashed into someone
5881,Traffic Violation,She broke their car
5882,Traffic Violation,She ran a stop sign
5883,Traffic Violation,She hit someone with their car
5884,Traffic Violation,She is driving while high
5885,Traffic Violation,She is speeding
5886,Traffic Violation,She is too fast
5887,Traffic Violation,She driving like a maniac
5888,Traffic Violation,She reckless driving
5889,Traffic Violation,She dangerous driving
5890,Traffic Violation,She license
5891,Traffic Violation,She driver
5892,Traffic Violation,She passenger
5893,Traffic Violation,She pedestrian
5894,Traffic Violation,She hit someone
5895,Traffic Violation,She police car
5896,Traffic Violation,She tailgate
5897,Traffic Violation,She roadrage
5898,Traffic Violation,She demerit points
5899,Traffic Violation,She red light
5900,Traffic Violation,She speeding camera
5901,Traffic Violation,She red light camera
5902,Traffic Violation,They car is swerving erratically
5903,Traffic Violation,They car moving weird
5904,Traffic Violation,They driving drunk
5905,Traffic Violation,They ran a red light
5906,Traffic Violation,They has a suspended license
5907,Traffic Violation,They cannot drive
5908,Traffic Violation,They hit and run
5909,Traffic Violation,They had an accident
5910,Traffic Violation,They crashed into someone
5911,Traffic Violation,They broke their car
5912,Traffic Violation,They ran a stop sign
5913,Traffic Violation,They hit someone with their car
5914,Traffic Violation,They is driving while high
5915,Traffic Violation,They is speeding
5916,Traffic Violation,They is too fast
5917,Traffic Violation,They driving like a maniac
5918,Traffic Violation,They reckless driving
5919,Traffic Violation,They dangerous driving
5920,Traffic Violation,They license
5921,Traffic Violation,They driver
5922,Traffic Violation,They passenger
5923,Traffic Violation,They pedestrian
5924,Traffic Violation,They hit someone
5925,Traffic Violation,They police car
5926,Traffic Violation,They tailgate
5927,Traffic Violation,They roadrage
5928,Traffic Violation,They demerit points
5929,Traffic Violation,They red light
5930,Traffic Violation,They speeding camera
5931,Traffic Violation,They red light camera
5932,Traffic Violation,Us car is swerving erratically
5933,Traffic Violation,Us car moving weird
5934,Traffic Violation,Us driving drunk
5935,Traffic Violation,Us ran a red light
5936,Traffic Violation,Us has a suspended license
5937,Traffic Violation,Us cannot drive
5938,Traffic Violation,Us hit and run
5939,Traffic Violation,Us had an accident
5940,Traffic Violation,Us crashed into someone
5941,Traffic Violation,Us broke their car
5942,Traffic Violation,Us ran a stop sign
5943,Traffic Violation,Us hit someone with their car
5944,Traffic Violation,Us is driving while high
5945,Traffic Violation,Us is speeding
5946,Traffic Violation,Us is too fast
5947,Traffic Violation,Us driving like a maniac
5948,Traffic Violation,Us reckless driving
5949,Traffic Violation,Us dangerous driving
5950,Traffic Violation,Us license
5951,Traffic Violation,Us driver
5952,Traffic Violation,Us passenger
5953,Traffic Violation,Us pedestrian
5954,Traffic Violation,Us hit someone
5955,Traffic Violation,Us police car
5956,Traffic Violation,Us tailgate
5957,Traffic Violation,Us roadrage
5958,Traffic Violation,Us demerit points
5959,Traffic Violation,Us red light
5960,Traffic Violation,Us speeding camera
5961,Traffic Violation,Us red light camera
5962,Traffic Violation,A guy car is swerving erratically
5963,Traffic Violation,A guy car moving weird
5964,Traffic Violation,A guy driving drunk
5965,Traffic Violation,A guy ran a red light
5966,Traffic Violation,A guy has a suspended license
5967,Traffic Violation,A guy cannot drive
5968,Traffic Violation,A guy hit and run
5969,Traffic Violation,A guy had an accident
5970,Traffic Violation,A guy crashed into someone
5971,Traffic Violation,A guy broke their car
5972,Traffic Violation,A guy ran a stop sign
5973,Traffic Violation,A guy hit someone with their car
5974,Traffic Violation,A guy is driving while high
5975,Traffic Violation,A guy is speeding
5976,Traffic Violation,A guy is too fast
5977,Traffic Violation,A guy driving like a maniac
5978,Traffic Violation,A guy reckless driving
5979,Traffic Violation,A guy dangerous driving
5980,Traffic Violation,A guy license
5981,Traffic Violation,A guy driver
5982,Traffic Violation,A guy passenger
5983,Traffic Violation,A guy pedestrian
5984,Traffic Violation,A guy hit someone
5985,Traffic Violation,A guy police car
5986,Traffic Violation,A guy tailgate
5987,Traffic Violation,A guy roadrage
5988,Traffic Violation,A guy demerit points
5989,Traffic Violation,A guy red light
5990,Traffic Violation,A guy speeding camera
5991,Traffic Violation,A guy red light camera
5992,Traffic Violation,A girl car is swerving erratically
5993,Traffic Violation,A girl car moving weird
5994,Traffic Violation,A girl driving drunk
5995,Traffic Violation,A girl ran a red light
5996,Traffic Violation,A girl has a suspended license
5997,Traffic Violation,A girl cannot drive
5998,Traffic Violation,A girl hit and run
5999,Traffic Violation,A girl had an accident
6000,Traffic Violation,A girl crashed into someone
6001,Traffic Violation,A girl broke their car
6002,Traffic Violation,A girl ran a stop sign
6003,Traffic Violation,A girl hit someone with their car
6004,Traffic Violation,A girl is driving while high
6005,Traffic Violation,A girl is speeding
6006,Traffic Violation,A girl is too fast
6007,Traffic Violation,A girl driving like a maniac
6008,Traffic Violation,A girl reckless driving
6009,Traffic Violation,A girl dangerous driving
6010,Traffic Violation,A girl license
6011,Traffic Violation,A girl driver
6012,Traffic Violation,A girl passenger
6013,Traffic Violation,A girl pedestrian
6014,Traffic Violation,A girl hit someone
6015,Traffic Violation,A girl police car
6016,Traffic Violation,A girl tailgate
6017,Traffic Violation,A girl roadrage
6018,Traffic Violation,A girl demerit points
6019,Traffic Violation,A girl red light
6020,Traffic Violation,A girl speeding camera
6021,Traffic Violation,A girl red light camera
6022,Traffic Violation,A man car is swerving erratically
6023,Traffic Violation,A man car moving weird
6024,Traffic Violation,A man driving drunk
6025,Traffic Violation,A man ran a red light
6026,Traffic Violation,A man has a suspended license
6027,Traffic Violation,A man cannot drive
6028,Traffic Violation,A man hit and run
6029,Traffic Violation,A man had an accident
6030,Traffic Violation,A man crashed into someone
6031,Traffic Violation,A man broke their car
6032,Traffic Violation,A man ran a stop sign
6033,Traffic Violation,A man hit someone with their car
6034,Traffic Violation,A man is driving while high
6035,Traffic Violation,A man is speeding
6036,Traffic Violation,A man is too fast
6037,Traffic Violation,A man driving like a maniac
6038,Traffic Violation,A man reckless driving
6039,Traffic Violation,A man dangerous driving
6040,Traffic Violation,A man license
6041,Traffic Violation,A man driver
6042,Traffic Violation,A man passenger
6043,Traffic Violation,A man pedestrian
6044,Traffic Violation,A man hit someone
6045,Traffic Violation,A man police car
6046,Traffic Violation,A man tailgate
6047,Traffic Violation,A man roadrage
6048,Traffic Violation,A man demerit points
6049,Traffic Violation,A man red light
6050,Traffic Violation,A man speeding camera
6051,Traffic Violation,A man red light camera
6052,Traffic Violation,A woman car is swerving erratically
6053,Traffic Violation,A woman car moving weird
6054,Traffic Violation,A woman driving drunk
6055,Traffic Violation,A woman ran a red light
6056,Traffic Violation,A woman has a suspended license
6057,Traffic Violation,A woman cannot drive
6058,Traffic Violation,A woman hit and run
6059,Traffic Violation,A woman had an accident
6060,Traffic Violation,A woman crashed into someone
6061,Traffic Violation,A woman broke their car
6062,Traffic Violation,A woman ran a stop sign
6063,Traffic Violation,A woman hit someone with their car
6064,Traffic Violation,A woman is driving while high
6065,Traffic Violation,A woman is speeding
6066,Traffic Violation,A woman is too fast
6067,Traffic Violation,A woman driving like a maniac
6068,Traffic Violation,A woman reckless driving
6069,Traffic Violation,A woman dangerous driving
6070,Traffic Violation,A woman license
6071,Traffic Violation,A woman driver
6072,Traffic Violation,A woman passenger
6073,Traffic Violation,A woman pedestrian
6074,Traffic Violation,A woman hit someone
6075,Traffic Violation,A woman police car
6076,Traffic Violation,A woman tailgate
6077,Traffic Violation,A woman roadrage
6078,Traffic Violation,A woman demerit points
6079,Traffic Violation,A woman red light
6080,Traffic Violation,A woman speeding camera
6081,Traffic Violation,A woman red light camera
6082,Traffic Violation,That guy car is swerving erratically
6083,Traffic Violation,That guy car moving weird
6084,Traffic Violation,That guy driving drunk
6085,Traffic Violation,That guy ran a red light
6086,Traffic Violation,That guy has a suspended license
6087,Traffic Violation,That guy cannot drive
6088,Traffic Violation,That guy hit and run
6089,Traffic Violation,That guy had an accident
6090,Traffic Violation,That guy crashed into someone
6091,Traffic Violation,That guy broke their car
6092,Traffic Violation,That guy ran a stop sign
6093,Traffic Violation,That guy hit someone with their car
6094,Traffic Violation,That guy is driving while high
6095,Traffic Violation,That guy is speeding
6096,Traffic Violation,That guy is too fast
6097,Traffic Violation,That guy driving like a maniac
6098,Traffic Violation,That guy reckless driving
6099,Traffic Violation,That guy dangerous driving
6100,Traffic Violation,That guy license
6101,Traffic Violation,That guy driver
6102,Traffic Violation,That guy passenger
6103,Traffic Violation,That guy pedestrian
6104,Traffic Violation,That guy hit someone
6105,Traffic Violation,That guy police car
6106,Traffic Violation,That guy tailgate
6107,Traffic Violation,That guy roadrage
6108,Traffic Violation,That guy demerit points
6109,Traffic Violation,That guy red light
6110,Traffic Violation,That guy speeding camera
6111,Traffic Violation,That guy red light camera
6112,Traffic Violation,My neighbour car is swerving erratically
6113,Traffic Violation,My neighbour car moving weird
6114,Traffic Violation,My neighbour driving drunk
6115,Traffic Violation,My neighbour ran a red light
6116,Traffic Violation,My neighbour has a suspended license
6117,Traffic Violation,My neighbour cannot drive
6118,Traffic Violation,My neighbour hit and run
6119,Traffic Violation,My neighbour had an accident
6120,Traffic Violation,My neighbour crashed into someone
6121,Traffic Violation,My neighbour broke their car
6122,Traffic Violation,My neighbour ran a stop sign
6123,Traffic Violation,My neighbour hit someone with their car
6124,Traffic Violation,My neighbour is driving while high
6125,Traffic Violation,My neighbour is speeding
6126,Traffic Violation,My neighbour is too fast
6127,Traffic Violation,My neighbour driving like a maniac
6128,Traffic Violation,My neighbour reckless driving
6129,Traffic Violation,My neighbour dangerous driving
6130,Traffic Violation,My neighbour license
6131,Traffic Violation,My neighbour driver
6132,Traffic Violation,My neighbour passenger
6133,Traffic Violation,My neighbour pedestrian
6134,Traffic Violation,My neighbour hit someone
6135,Traffic Violation,My neighbour police car
6136,Traffic Violation,My neighbour tailgate
6137,Traffic Violation,My neighbour roadrage
6138,Traffic Violation,My neighbour demerit points
6139,Traffic Violation,My neighbour red light
6140,Traffic Violation,My neighbour speeding camera
6141,Traffic Violation,My neighbour red light camera
6142,Traffic Violation,My friend car is swerving erratically
6143,Traffic Violation,My friend car moving weird
6144,Traffic Violation,My friend driving drunk
6145,Traffic Violation,My friend ran a red light
6146,Traffic Violation,My friend has a suspended license
6147,Traffic Violation,My friend cannot drive
6148,Traffic Violation,My friend hit and run
6149,Traffic Violation,My friend had an accident
6150,Traffic Violation,My friend crashed into someone
6151,Traffic Violation,My friend broke their car
6152,Traffic Violation,My friend ran a stop sign
6153,Traffic Violation,My friend hit someone with their car
6154,Traffic Violation,My friend is driving while high
6155,Traffic Violation,My friend is speeding
6156,Traffic Violation,My friend is too fast
6157,Traffic Violation,My friend driving like a maniac
6158,Traffic Violation,My friend reckless driving
6159,Traffic Violation,My friend dangerous driving
6160,Traffic Violation,My friend license
6161,Traffic Violation,My friend driver
6162,Traffic Violation,My friend passenger
6163,Traffic Violation,My friend pedestrian
6164,Traffic Violation,My friend hit someone
6165,Traffic Violation,My friend police car
6166,Traffic Violation,My friend tailgate
6167,Traffic Violation,My friend roadrage
6168,Traffic Violation,My friend demerit points
6169,Traffic Violation,My friend red light
6170,Traffic Violation,My friend speeding camera
6171,Traffic Violation,My friend red light camera
6172,Traffic Violation,a person car is swerving erratically
6173,Traffic Violation,a person car moving weird
6174,Traffic Violation,a person driving drunk
6175,Traffic Violation,a person ran a red light
6176,Traffic Violation,a person has a suspended license
6177,Traffic Violation,a person cannot drive
6178,Traffic Violation,a person hit and run
6179,Traffic Violation,a person had an accident
6180,Traffic Violation,a person crashed into someone
6181,Traffic Violation,a person broke their car
6182,Traffic Violation,a person ran a stop sign
6183,Traffic Violation,a person hit someone with their car
6184,Traffic Violation,a person is driving while high
6185,Traffic Violation,a person is speeding
6186,Traffic Violation,a person is too fast
6187,Traffic Violation,a person driving like a maniac
6188,Traffic Violation,a person reckless driving
6189,Traffic Violation,a person dangerous driving
6190,Traffic Violation,a person license
6191,Traffic Violation,a person driver
6192,Traffic Violation,a person passenger
6193,Traffic Violation,a person pedestrian
6194,Traffic Violation,a person hit someone
6195,Traffic Violation,a person police car
6196,Traffic Violation,a person tailgate
6197,Traffic Violation,a person roadrage
6198,Traffic Violation,a person demerit points
6199,Traffic Violation,a person red light
6200,Traffic Violation,a person speeding camera
6201,Traffic Violation,a person red light camera
6202,Traffic Violation,My car is swerving erratically
6203,Traffic Violation,My car moving weird
6204,Traffic Violation,My driving drunk
6205,Traffic Violation,My ran a red light
6206,Traffic Violation,My has a suspended license
6207,Traffic Violation,My cannot drive
6208,Traffic Violation,My hit and run
6209,Traffic Violation,My had an accident
6210,Traffic Violation,My crashed into someone
6211,Traffic Violation,My broke their car
6212,Traffic Violation,My ran a stop sign
6213,Traffic Violation,My hit someone with their car
6214,Traffic Violation,My is driving while high
6215,Traffic Violation,My is speeding
6216,Traffic Violation,My is too fast
6217,Traffic Violation,My driving like a maniac
6218,Traffic Violation,My reckless driving
6219,Traffic Violation,My dangerous driving
6220,Traffic Violation,My license
6221,Traffic Violation,My driver
6222,Traffic Violation,My passenger
6223,Traffic Violation,My pedestrian
6224,Traffic Violation,My hit someone
6225,Traffic Violation,My police car
6226,Traffic Violation,My tailgate
6227,Traffic Violation,My roadrage
6228,Traffic Violation,My demerit points
6229,Traffic Violation,My red light
6230,Traffic Violation,My speeding camera
6231,Traffic Violation,My red light camera
6232,Traffic Violation,I car is swerving erratically
6233,Traffic Violation,I car moving weird
6234,Traffic Violation,I driving drunk
6235,Traffic Violation,I ran a red light
6236,Traffic Violation,I has a suspended license
6237,Traffic Violation,I cannot drive
6238,Traffic Violation,I hit and run
6239,Traffic Violation,I had an accident
6240,Traffic Violation,I crashed into someone
6241,Traffic Violation,I broke their car
6242,Traffic Violation,I ran a stop sign
6243,Traffic Violation,I hit someone with their car
6244,Traffic Violation,I is driving while high
6245,Traffic Violation,I is speeding
6246,Traffic Violation,I is too fast
6247,Traffic Violation,I driving like a maniac
6248,Traffic Violation,I reckless driving
6249,Traffic Violation,I dangerous driving
6250,Traffic Violation,I license
6251,Traffic Violation,I driver
6252,Traffic Violation,I passenger
6253,Traffic Violation,I pedestrian
6254,Traffic Violation,I hit someone
6255,Traffic Violation,I police car
6256,Traffic Violation,I tailgate
6257,Traffic Violation,I roadrage
6258,Traffic Violation,I demerit points
6259,Traffic Violation,I red light
6260,Traffic Violation,I speeding camera
6261,Traffic Violation,I red light camera
6262,Traffic Violation,We car is swerving erratically
6263,Traffic Violation,We car moving weird
6264,Traffic Violation,We driving drunk
6265,Traffic Violation,We ran a red light
6266,Traffic Violation,We has a suspended license
6267,Traffic Violation,We cannot drive
6268,Traffic Violation,We hit and run
6269,Traffic Violation,We had an accident
6270,Traffic Violation,We crashed into someone
6271,Traffic Violation,We broke their car
6272,Traffic Violation,We ran a stop sign
6273,Traffic Violation,We hit someone with their car
6274,Traffic Violation,We is driving while high
6275,Traffic Violation,We is speeding
6276,Traffic Violation,We is too fast
6277,Traffic Violation,We driving like a maniac
6278,Traffic Violation,We reckless driving
6279,Traffic Violation,We dangerous driving
6280,Traffic Violation,We license
6281,Traffic Violation,We driver
6282,Traffic Violation,We passenger
6283,Traffic Violation,We pedestrian
6284,Traffic Violation,We hit someone
6285,Traffic Violation,We police car
6286,Traffic Violation,We tailgate
6287,Traffic Violation,We roadrage
6288,Traffic Violation,We demerit points
6289,Traffic Violation,We red light
6290,Traffic Violation,We speeding camera
6291,Traffic Violation,We red light camera
6292,Traffic Violation,men car is swerving erratically
6293,Traffic Violation,men car moving weird
6294,Traffic Violation,men driving drunk
6295,Traffic Violation,men ran a red light
6296,Traffic Violation,men has a suspended license
6297,Traffic Violation,men cannot drive
6298,Traffic Violation,men hit and run
6299,Traffic Violation,men had an accident
6300,Traffic Violation,men crashed into someone
6301,Traffic Violation,men broke their car
6302,Traffic Violation,men ran a stop sign
6303,Traffic Violation,men hit someone with their car
6304,Traffic Violation,men is driving while high
6305,Traffic Violation,men is speeding
6306,Traffic Violation,men is too fast
6307,Traffic Violation,men driving like a maniac
6308,Traffic Violation,men reckless driving
6309,Traffic Violation,men dangerous driving
6310,Traffic Violation,men license
6311,Traffic Violation,men driver
6312,Traffic Violation,men passenger
6313,Traffic Violation,men pedestrian
6314,Traffic Violation,men hit someone
6315,Traffic Violation,men police car
6316,Traffic Violation,men tailgate
6317,Traffic Violation,men roadrage
6318,Traffic Violation,men demerit points
6319,Traffic Violation,men red light
6320,Traffic Violation,men speeding camera
6321,Traffic Violation,men red light camera
6322,Traffic Violation,women car is swerving erratically
6323,Traffic Violation,women car moving weird
6324,Traffic Violation,women driving drunk
6325,Traffic Violation,women ran a red light
6326,Traffic Violation,women has a suspended license
6327,Traffic Violation,women cannot drive
6328,Traffic Violation,women hit and run
6329,Traffic Violation,women had an accident
6330,Traffic Violation,women crashed into someone
6331,Traffic Violation,women broke their car
6332,Traffic Violation,women ran a stop sign
6333,Traffic Violation,women hit someone with their car
6334,Traffic Violation,women is driving while high
6335,Traffic Violation,women is speeding
6336,Traffic Violation,women is too fast
6337,Traffic Violation,women driving like a maniac
6338,Traffic Violation,women reckless driving
6339,Traffic Violation,women dangerous driving
6340,Traffic Violation,women license
6341,Traffic Violation,women driver
6342,Traffic Violation,women passenger
6343,Traffic Violation,women pedestrian
6344,Traffic Violation,women hit someone
6345,Traffic Violation,women police car
6346,Traffic Violation,women tailgate
6347,Traffic Violation,women roadrage
6348,Traffic Violation,women demerit points
6349,Traffic Violation,women red light
6350,Traffic Violation,women speeding camera
6351,Traffic Violation,women red light camera
6352,Traffic Violation,a guy car is swerving erratically
6353,Traffic Violation,a guy car moving weird
6354,Traffic Violation,a guy driving drunk
6355,Traffic Violation,a guy ran a red light
6356,Traffic Violation,a guy has a suspended license
6357,Traffic Violation,a guy cannot drive
6358,Traffic Violation,a guy hit and run
6359,Traffic Violation,a guy had an accident
6360,Traffic Violation,a guy crashed into someone
6361,Traffic Violation,a guy broke their car
6362,Traffic Violation,a guy ran a stop sign
6363,Traffic Violation,a guy hit someone with their car
6364,Traffic Violation,a guy is driving while high
6365,Traffic Violation,a guy is speeding
6366,Traffic Violation,a guy is too fast
6367,Traffic Violation,a guy driving like a maniac
6368,Traffic Violation,a guy reckless driving
6369,Traffic Violation,a guy dangerous driving
6370,Traffic Violation,a guy license
6371,Traffic Violation,a guy driver
6372,Traffic Violation,a guy passenger
6373,Traffic Violation,a guy pedestrian
6374,Traffic Violation,a guy hit someone
6375,Traffic Violation,a guy police car
6376,Traffic Violation,a guy tailgate
6377,Traffic Violation,a guy roadrage
6378,Traffic Violation,a guy demerit points
6379,Traffic Violation,a guy red light
6380,Traffic Violation,a guy speeding camera
6381,Traffic Violation,a guy red light camera
6382,Traffic Violation,that person car is swerving erratically
6383,Traffic Violation,that person car moving weird
6384,Traffic Violation,that person driving drunk
6385,Traffic Violation,that person ran a red light
6386,Traffic Violation,that person has a suspended license
6387,Traffic Violation,that person cannot drive
6388,Traffic Violation,that person hit and run
6389,Traffic Violation,that person had an accident
6390,Traffic Violation,that person crashed into someone
6391,Traffic Violation,that person broke their car
6392,Traffic Violation,that person ran a stop sign
6393,Traffic Violation,that person hit someone with their car
6394,Traffic Violation,that person is driving while high
6395,Traffic Violation,that person is speeding
6396,Traffic Violation,that person is too fast
6397,Traffic Violation,that person driving like a maniac
6398,Traffic Violation,that person reckless driving
6399,Traffic Violation,that person dangerous driving
6400,Traffic Violation,that person license
6401,Traffic Violation,that person driver
6402,Traffic Violation,that person passenger
6403,Traffic Violation,that person pedestrian
6404,Traffic Violation,that person hit someone
6405,Traffic Violation,that person police car
6406,Traffic Violation,that person tailgate
6407,Traffic Violation,that person roadrage
6408,Traffic Violation,that person demerit points
6409,Traffic Violation,that person red light
6410,Traffic Violation,that person speeding camera
6411,Traffic Violation,that person red light camera
6412,Traffic Violation,them car is swerving erratically
6413,Traffic Violation,them car moving weird
6414,Traffic Violation,them driving drunk
6415,Traffic Violation,them ran a red light
6416,Traffic Violation,them has a suspended license
6417,Traffic Violation,them cannot drive
6418,Traffic Violation,them hit and run
6419,Traffic Violation,them had an accident
6420,Traffic Violation,them crashed into someone
6421,Traffic Violation,them broke their car
6422,Traffic Violation,them ran a stop sign
6423,Traffic Violation,them hit someone with their car
6424,Traffic Violation,them is driving while high
6425,Traffic Violation,them is speeding
6426,Traffic Violation,them is too fast
6427,Traffic Violation,them driving like a maniac
6428,Traffic Violation,them reckless driving
6429,Traffic Violation,them dangerous driving
6430,Traffic Violation,them license
6431,Traffic Violation,them driver
6432,Traffic Violation,them passenger
6433,Traffic Violation,them pedestrian
6434,Traffic Violation,them hit someone
6435,Traffic Violation,them police car
6436,Traffic Violation,them tailgate
6437,Traffic Violation,them roadrage
6438,Traffic Violation,them demerit points
6439,Traffic Violation,them red light
6440,Traffic Violation,them speeding camera
6441,Traffic Violation,them red light camera
6442,Traffic Violation,I see car is swerving erratically
6443,Traffic Violation,I see car moving weird
6444,Traffic Violation,I see driving drunk
6445,Traffic Violation,I see ran a red light
6446,Traffic Violation,I see has a suspended license
6447,Traffic Violation,I see cannot drive
6448,Traffic Violation,I see hit and run
6449,Traffic Violation,I see had an accident
6450,Traffic Violation,I see crashed into someone
6451,Traffic Violation,I see broke their car
6452,Traffic Violation,I see ran a stop sign
6453,Traffic Violation,I see hit someone with their car
6454,Traffic Violation,I see is driving while high
6455,Traffic Violation,I see is speeding
6456,Traffic Violation,I see is too fast
6457,Traffic Violation,I see driving like a maniac
6458,Traffic Violation,I see reckless driving
6459,Traffic Violation,I see dangerous driving
6460,Traffic Violation,I see license
6461,Traffic Violation,I see driver
6462,Traffic Violation,I see passenger
6463,Traffic Violation,I see pedestrian
6464,Traffic Violation,I see hit someone
6465,Traffic Violation,I see police car
6466,Traffic Violation,I see tailgate
6467,Traffic Violation,I see roadrage
6468,Traffic Violation,I see demerit points
6469,Traffic Violation,I see red light
6470,Traffic Violation,I see speeding camera
6471,Traffic Violation,I see red light camera
6472,Traffic Violation,There is car is swerving erratically
6473,Traffic Violation,There is car moving weird
6474,Traffic Violation,There is driving drunk
6475,Traffic Violation,There is ran a red light
6476,Traffic Violation,There is has a suspended license
6477,Traffic Violation,There is cannot drive
6478,Traffic Violation,There is hit and run
6479,Traffic Violation,There is had an accident
6480,Traffic Violation,There is crashed into someone
6481,Traffic Violation,There is broke their car
6482,Traffic Violation,There is ran a stop sign
6483,Traffic Violation,There is hit someone with their car
6484,Traffic Violation,There is is driving while high
6485,Traffic Violation,There is is speeding
6486,Traffic Violation,There is is too fast
6487,Traffic Violation,There is driving like a maniac
6488,Traffic Violation,There is reckless driving
6489,Traffic Violation,There is dangerous driving
6490,Traffic Violation,There is license
6491,Traffic Violation,There is driver
6492,Traffic Violation,There is passenger
6493,Traffic Violation,There is pedestrian
6494,Traffic Violation,There is hit someone
6495,Traffic Violation,There is police car
6496,Traffic Violation,There is tailgate
6497,Traffic Violation,There is roadrage
6498,Traffic Violation,There is demerit points
6499,Traffic Violation,There is red light
6500,Traffic Violation,There is speeding camera
6501,Traffic Violation,There is red light camera
6502,Traffic Violation,Another car is swerving erratically
6503,Traffic Violation,Another car moving weird
6504,Traffic Violation,Another driving drunk
6505,Traffic Violation,Another ran a red light
6506,Traffic Violation,Another has a suspended license
6507,Traffic Violation,Another cannot drive
6508,Traffic Violation,Another hit and run
6509,Traffic Violation,Another had an accident
6510,Traffic Violation,Another crashed into someone
6511,Traffic Violation,Another broke their car
6512,Traffic Violation,Another ran a stop sign
6513,Traffic Violation,Another hit someone with their car
6514,Traffic Violation,Another is driving while high
6515,Traffic Violation,Another is speeding
6516,Traffic Violation,Another is too fast
6517,Traffic Violation,Another driving like a maniac
6518,Traffic Violation,Another reckless driving
6519,Traffic Violation,Another dangerous driving
6520,Traffic Violation,Another license
6521,Traffic Violation,Another driver
6522,Traffic Violation,Another passenger
6523,Traffic Violation,Another pedestrian
6524,Traffic Violation,Another hit someone
6525,Traffic Violation,Another police car
6526,Traffic Violation,Another tailgate
6527,Traffic Violation,Another roadrage
6528,Traffic Violation,Another demerit points
6529,Traffic Violation,Another red light
6530,Traffic Violation,Another speeding camera
6531,Traffic Violation,Another red light camera
6532,Violence/Homicide,He stabbing
6533,Violence/Homicide,He stabbed
6534,Violence/Homicide,He killing
6535,Violence/Homicide,He killed
6536,Violence/Homicide,He is getting stabbed
6537,Violence/Homicide,He is shot
6538,Violence/Homicide,He shot someone
6539,Violence/Homicide,He shot him
6540,Violence/Homicide,He stabbed someone
6541,Violence/Homicide,He stabbed him
6542,Violence/Homicide,He got stabbed
6543,Violence/Homicide,He got shot
6544,Violence/Homicide,He bleeding a lot
6545,Violence/Homicide,He is bleeding
6546,Violence/Homicide,He blood
6547,Violence/Homicide,He bloody
6548,Violence/Homicide,He pulling out a gun
6549,Violence/Homicide,He has a knife
6550,Violence/Homicide,He shooting
6551,Violence/Homicide,He gun
6552,Violence/Homicide,He knife
6553,Violence/Homicide,He shooting
6554,Violence/Homicide,He hit them
6555,Violence/Homicide,He hit him
6556,Violence/Homicide,He hit her
6557,Violence/Homicide,He domestic violence
6558,Violence/Homicide,He assaulted
6559,Violence/Homicide,He assaulting
6560,Violence/Homicide,He beat up
6561,Violence/Homicide,He is beating
6562,Violence/Homicide,He punching
6563,Violence/Homicide,He punched
6564,Violence/Homicide,He kicking
6565,Violence/Homicide,He kicked
6566,Violence/Homicide,He threatened to kill
6567,Violence/Homicide,He threatened to hit
6568,Violence/Homicide,He threatened
6569,Violence/Homicide,He abused
6570,Violence/Homicide,He abuse
6571,Violence/Homicide,He battery
6572,Violence/Homicide,He shot
